accuracy,loss,val_accuracy,val_loss
0.9251499772071838,0.17510421574115753,0.839900016784668,0.403118371963501
0.9346250295639038,0.16133971512317657,0.8338000178337097,0.4358125627040863
0.949999988079071,0.12590292096138,0.8385999798774719,0.4612942934036255
0.9573500156402588,0.10651683062314987,0.8428000211715698,0.5054353475570679
0.9631749987602234,0.09260240197181702,0.8446000218391418,0.5044289231300354
0.9685249924659729,0.07971920818090439,0.7957000136375427,0.592124879360199
0.973675012588501,0.06983274221420288,0.8151999711990356,0.6117872595787048
0.9741500020027161,0.07056520879268646,0.8359000086784363,0.6087731122970581
0.9811750054359436,0.05249655619263649,0.8331000208854675,0.659055769443512
0.9831249713897705,0.04735343158245087,0.83160001039505,0.650061845779419
